12,2.30E+06,2.30E+06,2.30E+06
15,2.34E+06,2.34E+06,2.34E+06
18,2.36E+06,2.36E+06,2.36E+06
21,2.36E+06,2.36E+06,2.36E+06
24,2.38E+06,2.38E+06,2.38E+06
27,2.41E+06,2.41E+06,2.41E+06
30,2.42E+06,2.42E+06,2.42E+06
33,2.46E+06,2.46E+06,2.46E+06
36,2.50E+06,2.50E+06,2.50E+06
39,2.51E+06,2.51E+06,2.51E+06
42,2.55E+06,2.55E+06,2.55E+06
45,2.57E+06,2.57E+06,2.57E+06
48,2.61E+06,2.61E+06,2.61E+06
51,2.61E+06,2.61E+06,2.61E+06
54,2.66E+06,2.66E+06,2.66E+06
57,2.66E+06,2.66E+06,2.66E+06
60,2.67E+06,2.67E+06,2.67E+06
63,2.72E+06,2.72E+06,2.72E+06
66,2.72E+06,2.72E+06,2.72E+06
69,2.76E+06,2.76E+06,2.76E+06
72,2.80E+06,2.80E+06,2.80E+06
75,2.80E+06,2.80E+06,2.80E+06
78,2.83E+06,2.83E+06,2.83E+06
81,2.85E+06,2.85E+06,2.85E+06
84,2.84E+06,2.84E+06,2.84E+06
87,2.88E+06,2.88E+06,2.88E+06
90,2.92E+06,2.92E+06,2.92E+06
93,2.92E+06,2.92E+06,2.92E+06
96,2.91E+06,2.91E+06,2.91E+06
99,2.97E+06,2.97E+06,2.97E+06
102,2.97E+06,2.97E+06,2.97E+06
105,3.01E+06,3.01E+06,3.01E+06
108,3.01E+06,3.01E+06,3.01E+06
111,3.01E+06,3.01E+06,3.01E+06
114,3.07E+06,3.07E+06,3.07E+06
117,3.08E+06,3.08E+06,3.08E+06
120,3.09E+06,3.09E+06,3.09E+06
123,3.11E+06,3.11E+06,3.11E+06
126,3.10E+06,3.10E+06,3.10E+06
129,3.12E+06,3.12E+06,3.12E+06
132,3.11E+06,3.11E+06,3.11E+06
135,3.18E+06,3.18E+06,3.18E+06
138,3.14E+06,3.14E+06,3.14E+06
141,3.20E+06,3.20E+06,3.20E+06
